odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
5.9796,31/03/2012,Gold Coast,Adelaide,13964,1,10,8,68,-69,Carrara,Adelaide,19,23,137,1.1991,19,23,69
1.4042,31/03/2012,Melbourne,Brisbane,13963,1,11,12,78,-41,M.C.G.,Brisbane,17,17,119,3.4343,17,17,41
2.1522,31/03/2012,North Melbourne,Essendon,13965,1,15,12,102,-2,Docklands,Essendon,14,20,104,1.8503,14,20,2
2.0239,13/04/2012,Carlton,Collingwood,13978,3,18,14,122,60,M.C.G.,Collingwood,9,8,62,1.9627,9,8,-60
1.1095,14/04/2012,Fremantle,Brisbane,13981,3,8,16,64,29,Subiaco,Brisbane,5,5,35,9.9562,5,5,-29
14.7577,14/04/2012,Gold Coast,Essendon,13982,3,13,10,88,-17,Carrara,Essendon,15,15,105,1.0686,15,15,17
2.993,14/04/2012,Port Adelaide,Sydney,13980,3,12,11,83,-22,Football Park,Sydney,16,9,105,1.4892,16,9,22
1.2363,14/04/2012,Richmond,Melbourne,13979,3,20,13,133,59,M.C.G.,Melbourne,11,8,74,5.1247,11,8,-59
2.7128,14/04/2012,Western Bulldogs,St Kilda,13983,3,5,10,40,-63,Docklands,St Kilda,15,13,103,1.5721,15,13,63
89.9648,15/04/2012,GWS,West Coast,13984,3,10,9,69,-81,Blacktown,West Coast,23,12,150,1.0101,23,12,81
1.2197,15/04/2012,Hawthorn,Adelaide,13985,3,21,14,140,56,M.C.G.,Adelaide,12,12,84,5.512,12,12,-56
4.5284,15/04/2012,North Melbourne,Geelong,13986,3,20,11,131,17,Docklands,Geelong,16,18,114,1.2763,16,18,-17
1.4574,20/04/2012,St Kilda,Fremantle,13987,4,11,13,79,-13,Docklands,Fremantle,14,8,92,3.1418,14,8,13
1.0124,21/04/2012,Adelaide,GWS,13990,4,13,18,96,46,Football Park,GWS,7,8,50,83.986,7,8,-46
1.3925,21/04/2012,Brisbane,Gold Coast,13992,4,17,9,111,65,Gabba,Gold Coast,6,10,46,3.5474,6,10,-65
1.1376,21/04/2012,Carlton,Essendon,13988,4,11,13,79,-30,M.C.G.,Essendon,15,19,109,7.9772,15,19,30
1.2794,21/04/2012,Collingwood,Port Adelaide,13989,4,14,13,97,24,Docklands,Port Adelaide,10,13,73,4.3848,10,13,-24
1.675,21/04/2012,West Coast,Hawthorn,13991,4,5,21,51,5,Subiaco,Hawthorn,5,16,46,2.4605,5,16,-5
1.1636,22/04/2012,Geelong,Richmond,13993,4,11,9,75,10,Kardinia Park,Richmond,9,11,65,6.8697,9,11,-10
3.1532,22/04/2012,Melbourne,Western Bulldogs,13995,4,9,13,67,-21,M.C.G.,Western Bulldogs,13,10,88,1.4586,13,10,21
2.0426,22/04/2012,Sydney,North Melbourne,13994,4,17,11,113,36,S.C.G.,North Melbourne,10,17,77,1.9519,10,17,-36
1.676,25/04/2012,Collingwood,Essendon,13996,5,11,14,80,1,M.C.G.,Essendon,11,13,79,2.4454,11,13,-1
2.4042,27/04/2012,Fremantle,Carlton,13997,5,7,15,57,-8,Subiaco,Carlton,10,5,65,1.7068,10,5,8
4.1308,28/04/2012,Brisbane,Geelong,14001,5,4,17,41,-38,Gabba,Geelong,12,7,79,1.3123,12,7,38
17.4181,28/04/2012,GWS,Western Bulldogs,13998,5,9,8,62,-42,Manuka Oval,Western Bulldogs,15,14,104,1.0591,15,14,42
8.9889,28/04/2012,Melbourne,St Kilda,14000,5,10,6,66,-18,M.C.G.,St Kilda,12,12,84,1.1212,12,12,18
1.0206,28/04/2012,North Melbourne,Gold Coast,13999,5,17,25,127,34,Docklands,Gold Coast,13,15,93,44.3352,13,15,-34
1.5593,29/04/2012,Adelaide,Port Adelaide,14004,5,16,14,110,19,Football Park,Port Adelaide,14,7,91,2.7654,14,7,-19
1.3377,29/04/2012,Hawthorn,Sydney,14002,5,10,9,69,-37,York Park,Sydney,16,10,106,3.9208,16,10,37
3.6641,29/04/2012,Richmond,West Coast,14003,5,14,13,97,-10,Docklands,West Coast,16,11,107,1.3702,16,11,10
1.15,5/05/2012,Essendon,Brisbane,14006,6,19,15,129,67,Docklands,Brisbane,9,8,62,7.6187,9,8,-67
1.0681,5/05/2012,Geelong,Melbourne,14007,6,17,17,119,43,Kardinia Park,Melbourne,11,10,76,15.5907,11,10,-43
8.1488,5/05/2012,Gold Coast,Fremantle,14008,6,14,3,87,-7,Carrara,Fremantle,14,10,94,1.1349,14,10,7
4.2038,5/05/2012,St Kilda,Hawthorn,14010,6,13,10,88,-35,M.C.G.,Hawthorn,18,15,123,1.2993,18,15,35
1.3245,5/05/2012,Sydney,Adelaide,14009,6,14,10,94,-5,S.C.G.,Adelaide,15,9,99,4.0121,15,9,5
1.1441,13/05/2012,Fremantle,Port Adelaide,14021,7,12,15,87,40,Subiaco,Port Adelaide,7,5,47,7.6813,7,5,-40
1.3094,13/05/2012,North Melbourne,Western Bulldogs,14020,7,12,11,83,-18,Docklands,Western Bulldogs,15,11,101,4.1731,15,11,18
4.9267,14/05/2012,St Kilda,Carlton,14022,7,19,8,122,24,Docklands,Carlton,14,14,98,1.25,14,14,-24
1.6285,18/05/2012,Collingwood,Geelong,14023,8,14,12,96,12,M.C.G.,Geelong,11,18,84,2.5757,11,18,-12
1.5239,19/05/2012,Essendon,Richmond,14028,8,19,14,128,19,M.C.G.,Richmond,15,19,109,2.8892,15,19,-19
1.2182,19/05/2012,Hawthorn,Fremantle,14025,8,17,17,119,56,York Park,Fremantle,9,9,63,5.4205,9,9,-56
2.8731,19/05/2012,Port Adelaide,North Melbourne,14024,8,14,11,95,2,Football Park,North Melbourne,14,9,93,1.5325,14,9,-2
1.1401,19/05/2012,Sydney,Melbourne,14026,8,21,12,138,101,S.C.G.,Melbourne,5,7,37,8.0384,5,7,-101
1.1541,19/05/2012,Western Bulldogs,Gold Coast,14027,8,9,18,72,38,Marrara Oval,Gold Coast,4,10,34,7.4473,4,10,-38
1.1528,20/05/2012,Brisbane,GWS,14029,8,19,18,132,92,Gabba,GWS,5,10,40,7.5784,5,10,-92
1.4911,20/05/2012,Carlton,Adelaide,14030,8,8,7,55,-69,Docklands,Adelaide,19,10,124,3.0104,19,10,69
1.4398,20/05/2012,West Coast,St Kilda,14031,8,18,13,121,30,Subiaco,St Kilda,13,13,91,3.2514,13,13,-30
5.1139,25/05/2012,Western Bulldogs,Geelong,14032,9,11,9,75,-20,Docklands,Geelong,14,11,95,1.2405,14,11,20
1.5263,26/05/2012,Adelaide,Collingwood,14036,9,6,13,49,-26,Football Park,Collingwood,10,15,75,2.8756,10,15,26
48.354,26/05/2012,GWS,Essendon,14037,9,7,11,53,-66,Sydney Showground,Essendon,18,11,119,1.021,18,11,66
2.5591,26/05/2012,Gold Coast,Port Adelaide,14034,9,10,10,70,-48,Carrara,Port Adelaide,17,16,118,1.6252,17,16,48
4.2343,26/05/2012,Richmond,Hawthorn,14033,9,21,11,137,62,M.C.G.,Hawthorn,10,15,75,1.3068,10,15,-62
1.9649,26/05/2012,St Kilda,Sydney,14035,9,16,15,111,28,Docklands,Sydney,12,11,83,2.0277,12,11,-28
1.0882,27/05/2012,Carlton,Melbourne,14039,9,15,17,107,58,M.C.G.,Melbourne,6,13,49,12.3669,6,13,-58
1.2562,27/05/2012,North Melbourne,Brisbane,14038,9,17,10,112,16,Docklands,Brisbane,15,6,96,4.7762,15,6,-16
1.368,27/05/2012,West Coast,Fremantle,14040,9,11,18,84,48,Subiaco,Fremantle,5,6,36,3.629,5,6,-48
1.3232,14/06/2012,West Coast,Carlton,14056,12,10,19,79,10,Subiaco,Carlton,10,9,69,4.0591,10,9,-10
1.5387,15/06/2012,Adelaide,St Kilda,14057,12,17,13,115,4,Football Park,St Kilda,16,15,111,2.8434,16,15,-4
14.4268,16/06/2012,GWS,Richmond,14058,12,12,2,74,-12,Sydney Showground,Richmond,11,20,86,1.0728,11,20,12
6.3554,16/06/2012,Gold Coast,North Melbourne,14059,12,12,8,80,-7,Carrara,North Melbourne,11,21,87,1.1822,11,21,7
1.0795,17/06/2012,Hawthorn,Brisbane,14060,12,19,21,135,65,M.C.G.,Brisbane,11,4,70,13.1855,11,4,-65
1.4598,17/06/2012,Western Bulldogs,Port Adelaide,14061,12,13,17,95,38,Docklands,Port Adelaide,8,9,57,3.1164,8,9,-38
1.6596,22/06/2012,Sydney,Geelong,14062,13,12,8,80,6,S.C.G.,Geelong,11,8,74,2.4778,11,8,-6
1.409,23/06/2012,Collingwood,West Coast,14064,13,12,13,85,3,M.C.G.,West Coast,12,10,82,3.3997,12,10,-3
