date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-07-08,124,2012,15,Subiaco,Western Bulldogs,Fremantle,0,-38,0,73.0,76.0,1437.5077279265179,1545.019701906993
2012-07-13,125,2012,16,Docklands,Carlton,North Melbourne,0,-53,0,79.0,73.5,1541.0239355567528,1508.7676211177895
2012-07-14,126,2012,16,Football Park,Essendon,Port Adelaide Power,0,50,1,74.5,78.5,1524.8251254520892,1342.1062338455235
2012-07-14,127,2012,16,Gabba,St Kilda,Brisbane,0,13,1,69.5,70.5,1552.2291370359449,1391.3821632735242
2012-07-14,128,2012,16,Docklands,Fremantle,Melbourne,0,34,1,90.5,73.5,1385.520729344477,1331.282973811395
2012-07-14,129,2012,16,M.C.G.,Collingwood,Geelong,0,31,1,82.0,61.0,1753.6034539104382,1685.3190242850792
2012-07-14,130,2012,16,Cazaly's Stadium,Richmond,Gold Coast,1,-2,0,79.5,64.0,1435.9532150300383,1093.6029975952433
2012-07-15,131,2012,16,Docklands,Hawthorn,Western Bulldogs,0,72,1,84.5,62.5,1649.4849824736118,1467.0067004890338
2012-07-15,132,2012,16,Sydney Showground,Adelaide,GWS,0,119,1,86.0,69.0,1546.2936068994095,1144.2058354324752
2012-07-15,133,2012,16,Subiaco,West Coast,Sydney,1,-52,0,70.0,73.5,1712.1764622766977,1600.2158021704754
2012-07-20,134,2012,17,Docklands,Geelong,Essendon,1,67,1,81.5,58.5,1673.229718789519,1532.59143008739
2012-07-21,135,2012,17,Football Park,Adelaide,West Coast,1,49,1,87.5,66.0,1563.991228626402,1522.5033806405045
2012-07-21,136,2012,17,Docklands,Carlton,Western Bulldogs,0,18,1,76.0,75.0,1524.6353059796793,1459.2324210775648
2012-07-21,137,2012,17,Marrara Oval,Port Adelaide Power,Melbourne,0,28,1,84.0,73.0,1319.3399292102226,1288.6057677354438
2012-07-21,138,2012,17,M.C.G.,Collingwood,Hawthorn,1,-47,0,64.0,73.0,1765.6927594059985,1657.2592618850808
2012-07-21,139,2012,17,Carrara,Brisbane,Gold Coast,0,11,1,72.0,73.0,1357.8695042051206,1144.9336705992575
2012-07-22,140,2012,17,M.C.G.,North Melbourne,Richmond,0,4,1,72.0,75.0,1485.156250694863,1439.6225420260241
2012-07-22,141,2012,17,S.C.G.,Sydney,St Kilda,1,29,1,79.5,69.5,1644.8888838066687,1560.7417961043484
2012-07-22,142,2012,17,Subiaco,GWS,Fremantle,0,-95,0,65.5,89.5,1116.5082137054826,1568.1979354204284
2012-07-27,143,2012,18,Docklands,Hawthorn,Essendon,0,94,1,82.5,62.5,1676.7944119036947,1563.3520240550504
2012-07-28,144,2012,18,M.C.G.,Richmond,Carlton,0,-4,0,62.0,70.0,1386.5772120277816,1536.8445236049708
2012-07-28,145,2012,18,Carrara,Gold Coast,Sydney,1,-72,0,66.0,77.5,1138.1259242228439,1631.3253676553074
2012-07-28,146,2012,18,Sydney Showground,GWS,Collingwood,1,-120,0,63.5,83.5,1139.4343218270776,1746.1576093873846
2012-07-28,147,2012,18,Kardinia Park,Geelong,Adelaide,1,27,1,84.0,65.5,1852.4691248218587,1562.2085194991314
2012-07-28,148,2012,18,Docklands,Melbourne,North Melbourne,0,-54,0,62.5,83.5,1264.9292178715964,1538.2015806931056
2012-07-29,149,2012,18,Docklands,Western Bulldogs,St Kilda,0,-76,0,69.0,80.0,1407.0232034522733,1549.3053122557096
2012-07-29,150,2012,18,Subiaco,West Coast,Brisbane,1,98,1,90.0,57.5,1679.2860897677751,1364.6772505815343
2012-07-29,151,2012,18,Football Park,Port Adelaide Power,Fremantle,1,-27,0,70.0,81.0,1348.01647907407,1400.2718272988334
2012-08-03,152,2012,19,M.C.G.,Geelong,Hawthorn,0,2,1,67.0,73.5,1687.2183539960545,1687.0636447588
2012-08-04,153,2012,19,Sydney Showground,Port Adelaide Power,GWS,0,-34,0,64.0,76.0,1320.255664966062,1138.5485990875354
2012-08-04,154,2012,19,Gabba,Brisbane,Richmond,1,-48,0,63.0,91.5,1385.4618546745962,1377.6883903284893
2012-08-04,155,2012,19,Subiaco,Fremantle,West Coast,1,65,1,83.0,68.5,1413.0326414068413,1513.5014856747132
2012-08-04,156,2012,19,Docklands,North Melbourne,Western Bulldogs,0,54,1,82.0,75.0,1503.3549041180047,1397.8441896300621
2012-08-04,157,2012,19,M.C.G.,Collingwood,St Kilda,1,6,1,70.0,67.0,1787.0433321269268,1558.4843260779207
2012-08-05,158,2012,19,Docklands,Carlton,Sydney,1,-22,0,75.0,71.0,1585.7333453042631,1632.98281721143
2012-08-05,159,2012,19,M.C.G.,Melbourne,Gold Coast,1,42,1,82.5,57.5,1299.7758944466973,1111.4684746667212
2012-08-05,160,2012,19,Football Park,Essendon,Adelaide,0,-4,0,70.5,79.5,1513.0827911999452,1572.4592903249356
2012-08-10,161,2012,20,Subiaco,West Coast,Geelong,1,5,1,70.0,65.0,1664.2808895244332,1702.2116746618062
2012-08-11,162,2012,20,Stadium Australia,Collingwood,Sydney,0,8,1,80.5,63.5,1753.3894128864251,1670.9553770555895
2012-08-11,163,2012,20,Docklands,Carlton,Brisbane,1,36,1,80.0,71.0,1572.7607854601038,1345.126303230181
